name,Year,Series,Value,Source
Africa,2022,Population mid-year estimates for males (millions),712.43,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Africa,2022,Population mid-year estimates for females (millions),714.31,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Africa,2022,Sex ratio (males per 100 females),99.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Africa,2022,Population aged 0 to 14 years old (percentage),40.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Africa,2022,Population aged 60+ years old (percentage),5.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Africa,2022,Population density,48.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Northern Africa,2010,Population mid-year estimates (millions),207.11,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Northern Africa,2010,Population mid-year estimates for males (millions),104.59,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Northern Africa,2010,Population mid-year estimates for females (millions),102.52,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Northern Africa,2010,Sex ratio (males per 100 females),102.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Northern Africa,2010,Population aged 0 to 14 years old (percentage),32.4,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Northern Africa,2010,Population aged 60+ years old (percentage),6.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Northern Africa,2010,Population density,26.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Northern Africa,2015,Population mid-year estimates (millions),228.36,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Northern Africa,2015,Population mid-year estimates for males (millions),115.31,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Northern Africa,2015,Population mid-year estimates for females (millions),113.05,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Northern Africa,2015,Sex ratio (males per 100 females),102.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Northern Africa,2015,Population aged 0 to 14 years old (percentage),32.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Northern Africa,2015,Population aged 60+ years old (percentage),7.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Northern Africa,2015,Population density,29.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Northern Africa,2015,Surface area (thousand km2),"7,880","United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Northern Africa,2020,Population mid-year estimates (millions),251.42,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Northern Africa,2020,Population mid-year estimates for males (millions),126.86,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Northern Africa,2020,Population mid-year estimates for females (millions),124.55,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Northern Africa,2020,Sex ratio (males per 100 females),101.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Northern Africa,2020,Population aged 0 to 14 years old (percentage),32.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Northern Africa,2020,Population aged 60+ years old (percentage),8.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Northern Africa,2020,Population density,32.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Northern Africa,2020,Surface area (thousand km2),"7,769","United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Northern Africa,2022,Population mid-year estimates (millions),259.97,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Northern Africa,2022,Population mid-year estimates for males (millions),131.12,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Northern Africa,2022,Population mid-year estimates for females (millions),128.85,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Northern Africa,2022,Sex ratio (males per 100 females),101.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Northern Africa,2022,Population aged 0 to 14 years old (percentage),32.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Northern Africa,2022,Population aged 60+ years old (percentage),8.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Northern Africa,2022,Population density,33.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Sub-Saharan Africa,2010,Population mid-year estimates (millions),848.12,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Sub-Saharan Africa,2010,Population mid-year estimates for males (millions),421.27,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Sub-Saharan Africa,2010,Population mid-year estimates for females (millions),426.85,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Sub-Saharan Africa,2010,Sex ratio (males per 100 females),98.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Sub-Saharan Africa,2010,Population aged 0 to 14 years old (percentage),43.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Sub-Saharan Africa,2010,Population aged 60+ years old (percentage),4.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Sub-Saharan Africa,2010,Population density,38.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Sub-Saharan Africa,2015,Population mid-year estimates (millions),972.75,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Sub-Saharan Africa,2015,Population mid-year estimates for males (millions),483.99,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Sub-Saharan Africa,2015,Population mid-year estimates for females (millions),488.76,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Sub-Saharan Africa,2015,Sex ratio (males per 100 females),99.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Sub-Saharan Africa,2015,Population aged 0 to 14 years old (percentage),43.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Sub-Saharan Africa,2015,Population aged 60+ years old (percentage),4.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Sub-Saharan Africa,2015,Population density,44.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Sub-Saharan Africa,2015,Surface area (thousand km2),"22,431","United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Sub-Saharan Africa,2020,Population mid-year estimates (millions),"1,109.26","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Sub-Saharan Africa,2020,Population mid-year estimates for males (millions),552.50,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Sub-Saharan Africa,2020,Population mid-year estimates for females (millions),556.76,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Sub-Saharan Africa,2020,Sex ratio (males per 100 females),99.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Sub-Saharan Africa,2020,Population aged 0 to 14 years old (percentage),42.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Sub-Saharan Africa,2020,Population aged 60+ years old (percentage),4.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Sub-Saharan Africa,2020,Population density,50.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Sub-Saharan Africa,2020,Surface area (thousand km2),"21,879","United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Sub-Saharan Africa,2022,Population mid-year estimates (millions),"1,166.77","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Sub-Saharan Africa,2022,Population mid-year estimates for males (millions),581.31,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Sub-Saharan Africa,2022,Population mid-year estimates for females (millions),585.46,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Sub-Saharan Africa,2022,Sex ratio (males per 100 females),99.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Sub-Saharan Africa,2022,Population aged 0 to 14 years old (percentage),41.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Sub-Saharan Africa,2022,Population aged 60+ years old (percentage),4.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Sub-Saharan Africa,2022,Population density,53.4,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Eastern Africa,2010,Population mid-year estimates (millions),342.74,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Eastern Africa,2010,Population mid-year estimates for males (millions),169.60,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Eastern Africa,2010,Population mid-year estimates for females (millions),173.15,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Eastern Africa,2010,Sex ratio (males per 100 females),97.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Eastern Africa,2010,Population aged 0 to 14 years old (percentage),45.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Eastern Africa,2010,Population aged 60+ years old (percentage),4.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Eastern Africa,2010,Population density,51.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Eastern Africa,2015,Population mid-year estimates (millions),393.35,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Eastern Africa,2015,Population mid-year estimates for males (millions),194.84,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Eastern Africa,2015,Population mid-year estimates for females (millions),198.51,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Eastern Africa,2015,Sex ratio (males per 100 females),98.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Eastern Africa,2015,Population aged 0 to 14 years old (percentage),43.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Eastern Africa,2015,Population aged 60+ years old (percentage),4.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Eastern Africa,2015,Population density,59.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Eastern Africa,2015,Surface area (thousand km2),"7,005","United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Eastern Africa,2020,Population mid-year estimates (millions),449.29,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Eastern Africa,2020,Population mid-year estimates for males (millions),222.75,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Eastern Africa,2020,Population mid-year estimates for females (millions),226.54,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Eastern Africa,2020,Sex ratio (males per 100 females),98.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Eastern Africa,2020,Population aged 0 to 14 years old (percentage),42.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Eastern Africa,2020,Population aged 60+ years old (percentage),4.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Eastern Africa,2020,Population density,67.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Eastern Africa,2020,Surface area (thousand km2),"6,667","United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Eastern Africa,2022,Population mid-year estimates (millions),473.00,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Eastern Africa,2022,Population mid-year estimates for males (millions),234.54,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Eastern Africa,2022,Population mid-year estimates for females (millions),238.47,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Eastern Africa,2022,Sex ratio (males per 100 females),98.4,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
